[18825.098939] mouse_logger: [18825446413353] type=2, code=0, value=-1
[18825.098943] mouse_logger: [18825446417573] type=0, code=0, value=0
[18825.099978] mouse_logger: [18825447451979] type=2, code=0, value=-1
[18825.099983] mouse_logger: [18825447457084] type=0, code=0, value=0
[18825.100930] mouse_logger: [18825448403809] type=2, code=0, value=-1
[18825.100934] mouse_logger: [18825448408043] type=0, code=0, value=0
[18825.101926] mouse_logger: [18825449400187] type=2, code=0, value=-1
[18825.101929] mouse_logger: [18825449403450] type=2, code=1, value=1
[18825.101931] mouse_logger: [18825449405022] type=0, code=0, value=0
[18825.102955] mouse_logger: [18825450428896] type=2, code=0, value=-1
[18825.102958] mouse_logger: [18825450432041] type=0, code=0, value=0
[18825.103988] mouse_logger: [18825451460237] type=2, code=0, value=-1
[18825.104018] mouse_logger: [18825451492296] type=0, code=0, value=0
[18825.104972] mouse_logger: [18825452445597] type=2, code=0, value=-1
[18825.104977] mouse_logger: [18825452451774] type=0, code=0, value=0
[18825.105964] mouse_logger: [18825453437445] type=2, code=0, value=-1
[18825.105969] mouse_logger: [18825453443823] type=0, code=0, value=0
[18825.106961] mouse_logger: [18825454434152] type=2, code=0, value=-1
[18825.106988] mouse_logger: [18825454462325] type=2, code=1, value=1
[18825.106991] mouse_logger: [18825454465242] type=0, code=0, value=0
[18825.107966] mouse_logger: [18825455439938] type=2, code=0, value=-1
[18825.107991] mouse_logger: [18825455465431] type=0, code=0, value=0
[18825.109973] mouse_logger: [18825457446830] type=2, code=0, value=-1
[18825.109976] mouse_logger: [18825457450403] type=0, code=0, value=0
[18825.110927] mouse_logger: [18825458401473] type=2, code=0, value=-1
[18825.110933] mouse_logger: [18825458407354] type=0, code=0, value=0
[18825.111955] mouse_logger: [18825459429540] type=2, code=0, value=-1
[18825.111959] mouse_logger: [18825459433230] type=0, code=0, value=0
[18825.112927] mouse_logger: [18825460401013] type=2, code=0, value=-1
[18825.112930] mouse_logger: [18825460404595] type=0, code=0, value=0
[18825.113992] mouse_logger: [18825461466759] type=2, code=0, value=-1
[18825.113997] mouse_logger: [18825461471275] type=0, code=0, value=0
[18825.116058] mouse_logger: [18825463532270] type=2, code=0, value=-1
[18825.116062] mouse_logger: [18825463536667] type=0, code=0, value=0
[18825.118048] mouse_logger: [18825465522191] type=2, code=0, value=-1
[18825.118052] mouse_logger: [18825465526478] type=0, code=0, value=0
[18825.119064] mouse_logger: [18825466538188] type=2, code=0, value=-1
[18825.119068] mouse_logger: [18825466542842] type=0, code=0, value=0
[18825.121056] mouse_logger: [18825468530582] type=2, code=0, value=-1
[18825.121060] mouse_logger: [18825468534897] type=0, code=0, value=0
[18825.123054] mouse_logger: [18825470528457] type=2, code=0, value=-1
[18825.123058] mouse_logger: [18825470532768] type=2, code=1, value=1
[18825.123060] mouse_logger: [18825470534788] type=0, code=0, value=0
[18825.125045] mouse_logger: [18825472519900] type=2, code=0, value=-1
[18825.125050] mouse_logger: [18825472524529] type=0, code=0, value=0
[18825.126966] mouse_logger: [18825474440573] type=2, code=0, value=-1
[18825.126973] mouse_logger: [18825474447817] type=0, code=0, value=0
[18825.129055] mouse_logger: [18825476529483] type=2, code=0, value=-1
[18825.129059] mouse_logger: [18825476534162] type=0, code=0, value=0
[18825.134008] mouse_logger: [18825481482327] type=2, code=0, value=-1
[18825.134012] mouse_logger: [18825481487175] type=0, code=0, value=0
[18825.139075] mouse_logger: [18825486549120] type=2, code=0, value=-1
[18825.139082] mouse_logger: [18825486557115] type=0, code=0, value=0
[18825.250189] mouse_logger: [18825597664261] type=2, code=0, value=1
[18825.250196] mouse_logger: [18825597672647] type=0, code=0, value=0
[18825.253066] mouse_logger: [18825600541429] type=2, code=0, value=1
[18825.253073] mouse_logger: [18825600549427] type=0, code=0, value=0
[18825.255059] mouse_logger: [18825602534787] type=2, code=0, value=1
[18825.255063] mouse_logger: [18825602539679] type=0, code=0, value=0
[18825.256065] mouse_logger: [18825603540769] type=2, code=0, value=1
[18825.256069] mouse_logger: [18825603545229] type=0, code=0, value=0
[18825.256934] mouse_logger: [18825604410095] type=2, code=0, value=1
[18825.256939] mouse_logger: [18825604415600] type=0, code=0, value=0
[18825.258954] mouse_logger: [18825606430031] type=2, code=0, value=1
[18825.258958] mouse_logger: [18825606434583] type=0, code=0, value=0
[18825.259934] mouse_logger: [18825607409718] type=2, code=0, value=2
[18825.259939] mouse_logger: [18825607414957] type=0, code=0, value=0
[18825.261067] mouse_logger: [18825608542585] type=2, code=0, value=1
[18825.261070] mouse_logger: [18825608546656] type=2, code=1, value=-1
[18825.261072] mouse_logger: [18825608548597] type=0, code=0, value=0
[18825.262049] mouse_logger: [18825609525584] type=2, code=0, value=1
[18825.262053] mouse_logger: [18825609528983] type=0, code=0, value=0
[18825.262953] mouse_logger: [18825610428889] type=2, code=0, value=2
[18825.262956] mouse_logger: [18825610432288] type=0, code=0, value=0
[18825.263991] mouse_logger: [18825611467616] type=2, code=0, value=1
[18825.263996] mouse_logger: [18825611472138] type=0, code=0, value=0
[18825.265025] mouse_logger: [18825612501170] type=2, code=0, value=2
[18825.265030] mouse_logger: [18825612506218] type=0, code=0, value=0
[18825.265939] mouse_logger: [18825613415119] type=2, code=0, value=1
[18825.265945] mouse_logger: [18825613421414] type=0, code=0, value=0
[18825.266965] mouse_logger: [18825614440709] type=2, code=0, value=2
[18825.266969] mouse_logger: [18825614445491] type=0, code=0, value=0
[18825.267953] mouse_logger: [18825615429637] type=2, code=0, value=2
[18825.267957] mouse_logger: [18825615433010] type=0, code=0, value=0
[18825.269044] mouse_logger: [18825616520415] type=2, code=0, value=1
[18825.269048] mouse_logger: [18825616524840] type=0, code=0, value=0
[18825.269927] mouse_logger: [18825617403451] type=2, code=0, value=2
[18825.269931] mouse_logger: [18825617408007] type=0, code=0, value=0
[18825.270927] mouse_logger: [18825618403270] type=2, code=0, value=2
[18825.270931] mouse_logger: [18825618407710] type=0, code=0, value=0
[18825.272049] mouse_logger: [18825619524822] type=2, code=0, value=1
[18825.272053] mouse_logger: [18825619529148] type=0, code=0, value=0
[18825.272927] mouse_logger: [18825620403620] type=2, code=0, value=2
[18825.272932] mouse_logger: [18825620408169] type=0, code=0, value=0
[18825.274053] mouse_logger: [18825621529336] type=2, code=0, value=2
[18825.274056] mouse_logger: [18825621532784] type=0, code=0, value=0
[18825.274928] mouse_logger: [18825622404504] type=2, code=0, value=2
[18825.274932] mouse_logger: [18825622408959] type=0, code=0, value=0
[18825.275929] mouse_logger: [18825623405524] type=2, code=0, value=1
[18825.275934] mouse_logger: [18825623410138] type=0, code=0, value=0
[18825.276966] mouse_logger: [18825624441958] type=2, code=0, value=2
[18825.276970] mouse_logger: [18825624446537] type=2, code=1, value=-1
[18825.276972] mouse_logger: [18825624448546] type=0, code=0, value=0
[18825.277968] mouse_logger: [18825625444632] type=2, code=0, value=2
[18825.277973] mouse_logger: [18825625449135] type=0, code=0, value=0
[18825.279006] mouse_logger: [18825626482673] type=2, code=0, value=3
[18825.279011] mouse_logger: [18825626487303] type=0, code=0, value=0
[18825.279959] mouse_logger: [18825627435331] type=2, code=0, value=1
[18825.279963] mouse_logger: [18825627440150] type=0, code=0, value=0
[18825.280962] mouse_logger: [18825628438082] type=2, code=0, value=3
[18825.280966] mouse_logger: [18825628442439] type=2, code=1, value=-1
[18825.280968] mouse_logger: [18825628444456] type=0, code=0, value=0
[18825.281964] mouse_logger: [18825629439974] type=2, code=0, value=1
[18825.281968] mouse_logger: [18825629444444] type=0, code=0, value=0
[18825.282954] mouse_logger: [18825630430080] type=2, code=0, value=2
[18825.282957] mouse_logger: [18825630433415] type=0, code=0, value=0
[18825.284008] mouse_logger: [18825631484589] type=2, code=0, value=2
[18825.284011] mouse_logger: [18825631487805] type=0, code=0, value=0
[18825.285009] mouse_logger: [18825632485297] type=2, code=0, value=2
[18825.285012] mouse_logger: [18825632488364] type=0, code=0, value=0
[18825.285990] mouse_logger: [18825633466945] type=2, code=0, value=2
[18825.285993] mouse_logger: [18825633470161] type=0, code=0, value=0
[18825.286953] mouse_logger: [18825634429231] type=2, code=0, value=2
[18825.286955] mouse_logger: [18825634432225] type=0, code=0, value=0
[18825.287953] mouse_logger: [18825635429242] type=2, code=0, value=2
[18825.287956] mouse_logger: [18825635432282] type=0, code=0, value=0
[18825.288956] mouse_logger: [18825636432790] type=2, code=0, value=2
[18825.288959] mouse_logger: [18825636435916] type=2, code=1, value=-1
[18825.288961] mouse_logger: [18825636437550] type=0, code=0, value=0
[18825.289953] mouse_logger: [18825637429518] type=2, code=0, value=2
[18825.289956] mouse_logger: [18825637432350] type=0, code=0, value=0
[18825.290961] mouse_logger: [18825638437346] type=2, code=0, value=2
[18825.290964] mouse_logger: [18825638440420] type=0, code=0, value=0
[18825.291927] mouse_logger: [18825639403126] type=2, code=0, value=2
[18825.291930] mouse_logger: [18825639406906] type=2, code=1, value=-1
[18825.291932] mouse_logger: [18825639408566] type=0, code=0, value=0
[18825.292957] mouse_logger: [18825640433617] type=2, code=0, value=3
[18825.292961] mouse_logger: [18825640437546] type=0, code=0, value=0
[18825.293956] mouse_logger: [18825641432953] type=2, code=0, value=1
[18825.293959] mouse_logger: [18825641435909] type=0, code=0, value=0
[18825.294995] mouse_logger: [18825642471216] type=2, code=0, value=3
[18825.294998] mouse_logger: [18825642474837] type=0, code=0, value=0
[18825.295951] mouse_logger: [18825643427899] type=2, code=0, value=2
[18825.295954] mouse_logger: [18825643431036] type=2, code=1, value=-1
[18825.295956] mouse_logger: [18825643432679] type=0, code=0, value=0
[18825.296953] mouse_logger: [18825644429639] type=2, code=0, value=2
[18825.296956] mouse_logger: [18825644432559] type=0, code=0, value=0
[18825.297955] mouse_logger: [18825645431455] type=2, code=0, value=2
[18825.297957] mouse_logger: [18825645434274] type=0, code=0, value=0
[18825.298954] mouse_logger: [18825646430408] type=2, code=0, value=2
[18825.298957] mouse_logger: [18825646433454] type=0, code=0, value=0
[18825.299950] mouse_logger: [18825647426909] type=2, code=0, value=2
[18825.299953] mouse_logger: [18825647429881] type=2, code=1, value=-1
[18825.299955] mouse_logger: [18825647431482] type=0, code=0, value=0
[18825.300953] mouse_logger: [18825648430009] type=2, code=0, value=2
[18825.300956] mouse_logger: [18825648433046] type=0, code=0, value=0
[18825.301953] mouse_logger: [18825649429534] type=2, code=0, value=2
[18825.301956] mouse_logger: [18825649432425] type=2, code=1, value=-1
[18825.301957] mouse_logger: [18825649434021] type=0, code=0, value=0
[18825.302924] mouse_logger: [18825650400966] type=2, code=0, value=2
[18825.302927] mouse_logger: [18825650403892] type=0, code=0, value=0
[18825.303952] mouse_logger: [18825651429087] type=2, code=0, value=2
[18825.303955] mouse_logger: [18825651432251] type=0, code=0, value=0
[18825.304955] mouse_logger: [18825652431249] type=2, code=0, value=2
[18825.304957] mouse_logger: [18825652434240] type=0, code=0, value=0
[18825.305955] mouse_logger: [18825653431569] type=2, code=0, value=2
[18825.305957] mouse_logger: [18825653434439] type=0, code=0, value=0
[18825.306953] mouse_logger: [18825654429672] type=2, code=0, value=2
[18825.306956] mouse_logger: [18825654432686] type=2, code=1, value=-1
[18825.306957] mouse_logger: [18825654434274] type=0, code=0, value=0
[18825.307952] mouse_logger: [18825655428520] type=2, code=0, value=2
[18825.307955] mouse_logger: [18825655431798] type=0, code=0, value=0
[18825.308925] mouse_logger: [18825656401725] type=2, code=0, value=2
[18825.308928] mouse_logger: [18825656404887] type=0, code=0, value=0
[18825.309944] mouse_logger: [18825657417659] type=2, code=0, value=2
[18825.309958] mouse_logger: [18825657435173] type=2, code=1, value=-1
[18825.309961] mouse_logger: [18825657437922] type=0, code=0, value=0
[18825.310958] mouse_logger: [18825658434782] type=2, code=0, value=1
[18825.310961] mouse_logger: [18825658438512] type=0, code=0, value=0
[18825.311951] mouse_logger: [18825659427500] type=2, code=0, value=2
[18825.311954] mouse_logger: [18825659430543] type=2, code=1, value=-1
[18825.311955] mouse_logger: [18825659432194] type=0, code=0, value=0
