[ноя 6 23:23] mouse_logger: Performance stats - 0 events/sec
[  +0,000003] mouse_logger: [18798864156578] type=0, code=0, value=0
[  +0,001007] mouse_logger: [18798865163306] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798865166322] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798866161399] type=2, code=0, value=1
[  +0,000004] mouse_logger: [18798866165919] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798866167825] type=0, code=0, value=0
[  +0,000992] mouse_logger: [18798867158957] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798867163324] type=0, code=0, value=0
[  +0,001002] mouse_logger: [18798868165018] type=2, code=1, value=2
[  +0,000007] mouse_logger: [18798868172723] type=0, code=0, value=0
[  +0,000980] mouse_logger: [18798869152649] type=2, code=0, value=1
[  +0,000003] mouse_logger: [18798869155906] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798869157562] type=0, code=0, value=0
[  +0,000947] mouse_logger: [18798870104523] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798870107597] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798871105464] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798871108642] type=0, code=0, value=0
[  +0,001013] mouse_logger: [18798872121723] type=2, code=1, value=2
[  +0,000004] mouse_logger: [18798872125856] type=0, code=0, value=0
[  +0,000988] mouse_logger: [18798873113324] type=2, code=0, value=1
[  +0,000003] mouse_logger: [18798873117101] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798873118732] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798874108927] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798874113230] type=0, code=0, value=0
[  +0,001010] mouse_logger: [18798875121830] type=2, code=1, value=2
[  +0,000005] mouse_logger: [18798875128263] type=0, code=0, value=0
[  +0,000988] mouse_logger: [18798876115690] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798876121241] type=0, code=0, value=0
[  +0,001062] mouse_logger: [18798877179141] type=2, code=1, value=1
[  +0,000028] mouse_logger: [18798877210563] type=0, code=0, value=0
[  +0,000933] mouse_logger: [18798878143231] type=2, code=0, value=1
[  +0,000007] mouse_logger: [18798878150828] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798878152705] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798879163906] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798879166939] type=0, code=0, value=0
[  +0,001010] mouse_logger: [18798880175956] type=2, code=1, value=1
[  +0,000020] mouse_logger: [18798880196651] type=0, code=0, value=0
[  +0,000968] mouse_logger: [18798881164033] type=2, code=1, value=2
[  +0,000004] mouse_logger: [18798881168884] type=0, code=0, value=0
[  +0,000971] mouse_logger: [18798882139603] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798882144547] type=0, code=0, value=0
[  +0,001058] mouse_logger: [18798883202064] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798883206910] type=0, code=0, value=0
[  +0,000953] mouse_logger: [18798884159385] type=2, code=0, value=1
[  +0,000004] mouse_logger: [18798884163737] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798884165778] type=0, code=0, value=0
[  +0,000971] mouse_logger: [18798885137013] type=2, code=1, value=2
[  +0,000005] mouse_logger: [18798885141440] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798886139096] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798886144775] type=0, code=0, value=0
[  +0,000966] mouse_logger: [18798887110901] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798887114607] type=0, code=0, value=0
[  +0,001004] mouse_logger: [18798888118186] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798888123950] type=0, code=0, value=0
[  +0,000985] mouse_logger: [18798889109000] type=2, code=1, value=2
[  +0,000004] mouse_logger: [18798889112698] type=0, code=0, value=0
[  +0,002036] mouse_logger: [18798891148426] type=2, code=1, value=2
[  +0,000005] mouse_logger: [18798891153504] type=0, code=0, value=0
[  +0,000953] mouse_logger: [18798892106212] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798892110390] type=0, code=0, value=0
[  +0,001037] mouse_logger: [18798893146719] type=2, code=1, value=2
[  +0,000005] mouse_logger: [18798893151739] type=0, code=0, value=0
[  +0,001996] mouse_logger: [18798895147787] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798895152171] type=0, code=0, value=0
[  +0,000962] mouse_logger: [18798896113966] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798896119330] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798896121760] type=0, code=0, value=0
[  +0,001031] mouse_logger: [18798897151935] type=2, code=1, value=1
[  +0,000022] mouse_logger: [18798897175477] type=0, code=0, value=0
[  +0,000972] mouse_logger: [18798898146827] type=2, code=1, value=1
[  +0,000006] mouse_logger: [18798898152963] type=0, code=0, value=0
[  +0,001019] mouse_logger: [18798899172207] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798899176420] type=0, code=0, value=0
[  +0,000958] mouse_logger: [18798900133688] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798900137828] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798900139764] type=0, code=0, value=0
[  +0,001044] mouse_logger: [18798901184083] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798901188422] type=0, code=0, value=0
[  +0,001958] mouse_logger: [18798903145897] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798903151546] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798903153659] type=0, code=0, value=0
[  +0,001032] mouse_logger: [18798904186027] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798904190446] type=0, code=0, value=0
